_id,region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
ObjectId(63e4bbd04e31320bce166ddb),Hauts-de-France,2020-09-20T00:00:00.000Z,24,12,10,84,10,7.5,190
ObjectId(63e4bbd04e31320bce166ddc),Hauts-de-France,2020-09-21T00:00:00.000Z,24,13,7,85.5,10,11.5,0
ObjectId(63e4bbd04e31320bce166ddd),Hauts-de-France,2020-09-22T00:00:00.000Z,18.5,14,24.5,94,9.8125,68,157
ObjectId(63e4bbd04e31320bce166dde),Hauts-de-France,2020-09-23T00:00:00.000Z,14.5,9.5,30,87.5,9.0625,66.5,114
ObjectId(63e4bbd04e31320bce166ddf),Hauts-de-France,2020-09-24T00:00:00.000Z,12,9,34.5,86.5,9.625,75,38
ObjectId(63e4bbd04e31320bce166de0),Hauts-de-France,2020-09-25T00:00:00.000Z,11,9.5,35.5,74.5,8.4375,85.5,107
ObjectId(63e4bbd04e31320bce166de1),Hauts-de-France,2020-09-26T00:00:00.000Z,17,11.5,44,88,8.375,89.5,105
ObjectId(63e4bbd04e31320bce166de2),Hauts-de-France,2020-09-27T00:00:00.000Z,14,12,22.5,95.5,6.9375,84.5,139
ObjectId(63e4bbd04e31320bce166de3),Hauts-de-France,2020-09-28T00:00:00.000Z,18.5,12.5,16.5,96.5,8.1875,64,140
ObjectId(63e4bbd04e31320bce166de4),Hauts-de-France,2020-09-29T00:00:00.000Z,18,13.5,20.5,95.5,8.9375,66.5,113
ObjectId(63e4bbd04e31320bce166de5),Normandie,2020-08-31T00:00:00.000Z,18,11,11,86,10,13,139
ObjectId(63e4bbd04e31320bce166de6),Normandie,2020-09-01T00:00:00.000Z,21,11,7,87,10,22,102
ObjectId(63e4bbd04e31320bce166de7),Normandie,2020-09-02T00:00:00.000Z,23,16,22,69,10,82,186
ObjectId(63e4bbd04e31320bce166de8),Normandie,2020-09-03T00:00:00.000Z,20,17,7,88,9,85,140
ObjectId(63e4bbd04e31320bce166de9),Normandie,2020-09-04T00:00:00.000Z,18,13,18,92,10,55,128
ObjectId(63e4bbd04e31320bce166dea),Normandie,2020-09-05T00:00:00.000Z,19,10,13,88,9.875,63,132
ObjectId(63e4bbd04e31320bce166deb),Normandie,2020-09-06T00:00:00.000Z,20,11,12,93,10,34,50
ObjectId(63e4bbd04e31320bce166dec),Normandie,2020-09-07T00:00:00.000Z,22,14,12,92,9.375,66,181
ObjectId(63e4bbd04e31320bce166ded),Normandie,2020-09-08T00:00:00.000Z,22,13,15,95,7,24,166
ObjectId(63e4bbd04e31320bce166dee),Normandie,2020-09-09T00:00:00.000Z,20,16,15,97,6,78,150
ObjectId(63e4bbd04e31320bce166def),Normandie,2020-09-10T00:00:00.000Z,20,13,12,91,10,15,97
ObjectId(63e4bbd04e31320bce166df0),Normandie,2020-09-11T00:00:00.000Z,20,9,9,94,10,16,165
ObjectId(63e4bbd04e31320bce166df1),Normandie,2020-09-12T00:00:00.000Z,26,13,9,90,10,2,168
ObjectId(63e4bbd04e31320bce166df2),Normandie,2020-09-13T00:00:00.000Z,30,15,15,48,10,2,12
